status	provider	api	scenario	transport	role	duration_s	exit_code	started_at_utc	ended_at_utc	log	out_dir	codec
PASS	opensips	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:40:30Z	2026-08-12T06:40:30Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrwb/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrwb/UDP	amrwb
PASS	opensips	stream_peer	amr_call	UDP	callee	5	0	2026-08-12T06:40:30Z	2026-08-12T06:40:35Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrnb_be/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrnb_be/UDP	amrnb_be
PASS	opensips	stream_peer	amr_call	UDP	caller	4	0	2026-08-12T06:40:31Z	2026-08-12T06:40:35Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrnb_be/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrnb_be/UDP	amrnb_be
PASS	opensips	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:40:35Z	2026-08-12T06:40:35Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrnb_be/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrnb_be/UDP	amrnb_be
PASS	opensips	stream_peer	amr_call	UDP	caller	3	0	2026-08-12T06:40:36Z	2026-08-12T06:40:39Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrwb_be/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrwb_be/UDP	amrwb_be
PASS	opensips	stream_peer	amr_call	UDP	callee	4	0	2026-08-12T06:40:35Z	2026-08-12T06:40:39Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrwb_be/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrwb_be/UDP	amrwb_be
PASS	opensips	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:40:39Z	2026-08-12T06:40:39Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrwb_be/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/stream_peer/amr_call/amrwb_be/UDP	amrwb_be
PASS	opensips	callback	registration	UDP	registration	2	0	2026-08-12T06:40:39Z	2026-08-12T06:40:41Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/registration/UDP/registration.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/registration/UDP	default
PASS	opensips	callback	basic_call	UDP	caller	6	0	2026-08-12T06:40:42Z	2026-08-12T06:40:48Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/basic_call/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/basic_call/UDP	default
PASS	opensips	callback	basic_call	UDP	callee	7	0	2026-08-12T06:40:41Z	2026-08-12T06:40:48Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/basic_call/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/basic_call/UDP	default
